date,date,open,close,high,low,volume
2021-01-04,2021-01-04,358.46,404.46,411.47,358.46,224808
2021-01-05,2021-01-05,395.36,402.36,404.16,386.37,227452
2021-01-06,2021-01-06,408.36,407.13,416.36,391.37,186681
2021-01-07,2021-01-07,401.35,413.59,415.36,397.24,173895
2021-01-08,2021-01-08,419.36,404.86,425.35,397.76,210067
2021-01-11,2021-01-11,410.24,390.36,410.24,386.36,230050
2021-01-12,2021-01-12,385.86,401.53,404.76,380.36,165597
2021-01-13,2021-01-13,400.36,385.36,410.86,373.34,272620
2021-01-14,2021-01-14,375.56,369.37,384.36,368.38,196066
2021-01-15,2021-01-15,368.35,380.91,384.34,365.36,198229
2021-01-18,2021-01-18,377.1,384.26,392.16,376.13,142012
2021-01-19,2021-01-19,384.36,366.47,386.36,364.91,162867
2021-01-20,2021-01-20,374.16,391.76,393.74,371.27,213416
2021-01-21,2021-01-21,387.36,391.66,399.36,380.36,174792
2021-01-22,2021-01-22,391.86,408.36,410.64,391.86,190442
2021-01-25,2021-01-25,406.66,397.31,418.7,392.7,217414
2021-01-26,2021-01-26,397.17,385.86,397.17,384.12,151044
2021-01-27,2021-01-27,392.36,390.88,393.56,372.36,148385
2021-01-28,2021-01-28,380.36,370.26,383.37,368.36,181820
2021-01-29,2021-01-29,376.37,354.47,377.36,342.92,276013
2021-02-01,2021-02-01,353.36,350.69,357.26,346.56,175251
2021-02-02,2021-02-02,352.37,368.16,370.35,337.73,250865
2021-02-03,2021-02-03,379.36,381.34,387.92,375.41,211073
2021-02-04,2021-02-04,385.27,388.86,394.16,379.86,216302
2021-02-05,2021-02-05,395.36,373.81,397.35,373.21,184117
2021-02-08,2021-02-08,375.36,404.36,405.16,373.37,244027
2021-02-09,2021-02-09,411.56,410.56,415.36,401.16,162037
2021-02-10,2021-02-10,414.35,413.02,416.96,406.36,162830
2021-02-18,2021-02-18,422.36,397.36,422.36,387.24,238249
2021-02-19,2021-02-19,390.36,387.86,396.36,374.56,186904
2021-02-22,2021-02-22,387.86,375.36,396.16,375.26,167204
2021-02-23,2021-02-23,370.36,376.9,376.9,361.24,136047
2021-02-24,2021-02-24,375.36,347.36,378.36,339.76,302721
2021-02-25,2021-02-25,354.21,337.46,354.21,335.36,245757
2021-02-26,2021-02-26,323.36,322.59,333.36,318.15,229506
2021-03-01,2021-03-01,331.87,344.96,345.98,328.64,205394
2021-03-02,2021-03-02,353.36,349.96,353.56,341.42,152811
2021-03-03,2021-03-03,346.41,349.99,349.99,340.72,104644
2021-03-04,2021-03-04,345.36,325.93,345.36,323.27,181034
2021-03-05,2021-03-05,313.37,320.36,327.24,308.69,173073
2021-03-08,2021-03-08,323.36,305.36,335.08,301.24,212955
2021-03-09,2021-03-09,300.36,300.36,310.86,289.36,273577
2021-03-10,2021-03-10,316.36,314.86,322.64,313.36,237638
2021-03-11,2021-03-11,316.36,331.64,333.84,311.66,209643
2021-03-12,2021-03-12,337.27,341.82,345.36,331.66,189520
2021-03-15,2021-03-15,340.36,312.66,340.36,307.36,230404
2021-03-16,2021-03-16,317.36,323.36,325.35,313.86,137124
2021-03-17,2021-03-17,318.24,333.36,336.56,313.46,146726
2021-03-18,2021-03-18,334.36,336.16,343.47,333.87,113670
2021-03-19,2021-03-19,325.36,316.86,333.35,311.36,189716
2021-03-22,2021-03-22,319.36,308.16,321.36,299.25,231719
2021-03-23,2021-03-23,305.36,304.27,311.0,300.48,151169
2021-03-24,2021-03-24,305.36,289.15,305.46,285.36,252082
2021-03-25,2021-03-25,280.87,291.91,293.71,280.41,184399
2021-03-26,2021-03-26,295.36,313.98,314.41,293.36,237103
2021-03-29,2021-03-29,313.86,311.96,320.13,305.37,155632
2021-03-30,2021-03-30,311.97,319.34,321.34,308.36,126404
2021-03-31,2021-03-31,319.25,322.53,326.52,313.36,160546
2021-04-01,2021-04-01,324.16,330.35,335.85,323.66,113338
2021-04-02,2021-04-02,333.31,332.76,336.54,327.24,92629
2021-04-06,2021-04-06,335.36,326.16,338.36,319.45,104638
2021-04-07,2021-04-07,333.27,320.36,333.27,312.51,133931
2021-04-08,2021-04-08,314.36,320.21,322.02,311.36,78710
2021-04-09,2021-04-09,324.37,312.36,324.37,310.36,93237
2021-04-12,2021-04-12,318.62,315.37,325.4,313.46,140595
2021-04-13,2021-04-13,313.66,325.12,333.36,313.46,140211
2021-04-14,2021-04-14,331.62,346.36,347.85,329.04,185043
2021-04-15,2021-04-15,340.32,337.36,341.86,333.53,124741
2021-04-16,2021-04-16,340.36,334.2,340.76,324.96,115363
2021-04-19,2021-04-19,335.36,364.36,364.86,331.71,205477
2021-04-20,2021-04-20,358.34,359.36,369.15,353.86,142834
2021-04-21,2021-04-21,351.52,356.05,358.26,348.16,123996
2021-04-22,2021-04-22,366.36,362.72,366.96,353.99,107913
2021-04-23,2021-04-23,362.72,371.86,373.36,360.37,115365
2021-04-26,2021-04-26,373.96,349.36,380.36,347.56,256237
2021-04-27,2021-04-27,350.36,348.96,351.16,340.62,151810
2021-04-28,2021-04-28,353.37,367.39,375.36,352.36,236326
2021-04-29,2021-04-29,371.17,380.35,382.26,368.23,180863
2021-04-30,2021-04-30,373.36,388.53,392.36,368.28,258651
2021-05-06,2021-05-06,390.36,384.36,390.36,368.86,189680
2021-05-07,2021-05-07,384.36,367.64,387.91,366.49,151385
2021-05-10,2021-05-10,365.16,368.57,374.35,360.36,124553
2021-05-11,2021-05-11,362.36,366.96,370.26,353.36,114121
2021-05-12,2021-05-12,367.36,361.86,369.43,355.95,133602
2021-05-13,2021-05-13,354.66,351.46,359.14,350.06,113476
2021-05-14,2021-05-14,353.88,359.36,360.86,343.53,176577
2021-05-17,2021-05-17,360.36,373.54,376.24,360.35,193309
2021-05-18,2021-05-18,372.36,369.46,379.56,366.82,89620
2021-05-19,2021-05-19,366.86,375.41,380.36,363.36,117464
2021-05-20,2021-05-20,378.16,378.1,384.25,370.46,128440
2021-05-21,2021-05-21,383.13,375.93,387.64,369.33,140566
2021-05-24,2021-05-24,380.36,388.32,388.91,376.54,169611
2021-05-25,2021-05-25,389.8,395.89,396.36,386.06,149577
2021-05-26,2021-05-26,395.36,385.78,400.34,385.02,126989
2021-05-27,2021-05-27,387.87,384.36,390.36,382.21,79598
2021-05-28,2021-05-28,390.36,409.96,421.86,390.36,277151
2021-05-31,2021-05-31,416.36,434.46,435.93,414.36,200063
2021-06-01,2021-06-01,420.36,425.7,431.36,416.88,158754
2021-06-02,2021-06-02,429.46,424.86,434.05,419.63,115712
2021-06-03,2021-06-03,426.36,415.14,428.64,410.36,123760
2021-06-04,2021-06-04,419.36,432.57,439.86,415.52,180102
2021-06-07,2021-06-07,424.21,407.86,424.35,400.36,215294
2021-06-08,2021-06-08,404.36,409.95,425.21,404.36,166317
2021-06-09,2021-06-09,409.36,409.73,416.36,403.36,93582
2021-06-10,2021-06-10,410.45,434.99,445.02,410.45,193502
2021-06-11,2021-06-11,443.36,452.34,458.2,430.42,197961
2021-06-15,2021-06-15,453.36,445.36,456.26,435.86,102522
2021-06-16,2021-06-16,441.27,420.54,444.16,417.37,139694
2021-06-17,2021-06-17,424.61,434.87,438.1,424.61,102724
2021-06-18,2021-06-18,437.55,450.36,455.56,437.55,156000
2021-06-21,2021-06-21,452.16,453.16,456.26,440.58,120823
2021-06-22,2021-06-22,450.54,450.59,454.35,440.58,88470
2021-06-23,2021-06-23,454.44,468.81,472.37,451.86,124457
2021-06-24,2021-06-24,473.49,467.66,475.24,462.37,92132
2021-06-25,2021-06-25,473.36,476.59,477.36,459.36,99555
2021-06-28,2021-06-28,476.58,494.26,503.34,468.67,146439
2021-06-29,2021-06-29,514.01,508.87,519.96,504.58,153402
2021-06-30,2021-06-30,509.37,535.16,542.36,498.36,144557
2021-07-01,2021-07-01,537.16,529.86,540.36,518.37,113247
2021-07-02,2021-07-02,524.49,519.95,535.52,510.02,138717
2021-07-05,2021-07-05,515.6,519.87,529.28,508.67,143515
2021-07-06,2021-07-06,520.6,515.83,541.57,502.51,180555
2021-07-07,2021-07-07,520.6,543.1,543.1,507.73,181457
2021-07-08,2021-07-08,551.59,559.76,572.1,543.24,158790
2021-07-09,2021-07-09,559.59,546.48,559.59,535.15,156607
2021-07-12,2021-07-12,556.71,566.39,577.6,556.71,154763
2021-07-13,2021-07-13,560.6,563.61,580.2,552.6,136371
2021-07-14,2021-07-14,555.6,551.97,562.48,541.6,125879
2021-07-15,2021-07-15,545.6,568.6,569.48,541.65,137333
2021-07-16,2021-07-16,567.6,531.6,567.6,528.73,178495
2021-07-19,2021-07-19,540.6,524.1,542.28,516.6,180129
2021-07-20,2021-07-20,515.6,528.64,539.87,515.6,130005
2021-07-21,2021-07-21,530.62,556.38,556.68,526.61,182049
2021-07-22,2021-07-22,557.2,557.68,564.29,546.29,108836
2021-07-23,2021-07-23,555.6,547.61,564.59,546.6,93329
2021-07-26,2021-07-26,544.6,540.38,553.53,523.1,127290
2021-07-27,2021-07-27,543.62,495.6,559.79,495.6,178460
2021-07-28,2021-07-28,496.6,525.65,533.9,496.6,217247
2021-07-29,2021-07-29,546.6,557.4,558.34,529.6,186202
2021-07-30,2021-07-30,565.6,551.0,582.8,540.6,201810
2021-08-02,2021-08-02,557.6,552.6,575.59,533.48,182973
2021-08-03,2021-08-03,555.6,531.6,556.6,523.6,122383
2021-08-04,2021-08-04,534.6,569.6,571.59,525.6,174004
2021-08-05,2021-08-05,566.6,557.6,566.6,547.13,129792
2021-08-06,2021-08-06,565.39,544.48,567.6,539.6,143712
2021-08-09,2021-08-09,532.6,516.6,533.1,503.59,185831
2021-08-10,2021-08-10,511.61,511.1,519.79,499.6,180169
2021-08-11,2021-08-11,510.6,517.85,523.6,505.48,112364
2021-08-12,2021-08-12,512.61,502.6,513.59,494.6,171162
2021-08-13,2021-08-13,480.6,502.65,530.5,480.6,277258
2021-08-16,2021-08-16,494.6,477.6,504.49,470.48,220440
2021-08-17,2021-08-17,485.6,480.6,495.4,477.84,156106
2021-08-18,2021-08-18,487.14,495.6,503.5,478.01,159575
2021-08-19,2021-08-19,502.6,503.6,510.33,484.6,144535
2021-08-20,2021-08-20,499.6,494.71,499.8,483.1,125276
2021-08-23,2021-08-23,505.6,522.5,523.82,502.61,162244
2021-08-24,2021-08-24,517.0,523.6,540.7,515.72,133137
2021-08-25,2021-08-25,524.6,530.84,532.8,511.8,95303
2021-08-26,2021-08-26,540.58,521.6,559.54,521.49,167983
2021-08-27,2021-08-27,520.6,508.1,524.6,502.6,119582
2021-08-30,2021-08-30,508.05,505.84,526.4,499.46,157143
2021-08-31,2021-08-31,512.54,495.47,512.54,486.45,147621
2021-09-01,2021-09-01,492.6,489.31,494.6,472.1,144627
2021-09-02,2021-09-02,492.6,494.1,496.71,486.38,114649
2021-09-03,2021-09-03,498.6,487.1,504.48,481.48,112820
2021-09-06,2021-09-06,493.6,516.7,518.6,483.6,147920
2021-09-07,2021-09-07,515.6,514.61,527.26,510.6,94222
2021-09-08,2021-09-08,519.6,503.6,524.18,500.6,97394
2021-09-09,2021-09-09,510.1,507.8,519.58,491.4,110162
2021-09-10,2021-09-10,494.04,502.7,504.38,491.28,112969
2021-09-13,2021-09-13,502.7,503.4,512.7,496.6,89690
2021-09-14,2021-09-14,507.72,530.5,541.6,503.52,233837
2021-09-15,2021-09-15,530.6,525.95,532.59,512.41,105015
2021-09-16,2021-09-16,523.6,498.6,523.6,498.6,112604
2021-09-17,2021-09-17,497.6,503.6,509.6,492.73,81938
2021-09-22,2021-09-22,495.2,493.91,501.6,488.7,64239
2021-09-23,2021-09-23,505.46,493.59,505.46,492.4,79714
2021-09-24,2021-09-24,495.47,500.58,513.11,491.1,102625
2021-09-27,2021-09-27,505.6,514.1,520.4,500.39,144963
2021-09-28,2021-09-28,512.6,501.03,518.55,498.8,92225
2021-09-29,2021-09-29,496.6,503.11,512.4,494.6,93955
2021-09-30,2021-09-30,505.6,526.33,533.1,502.61,167142
2021-10-08,2021-10-08,534.6,534.6,550.67,523.5,125169
2021-10-11,2021-10-11,535.6,521.6,538.2,518.66,78309
2021-10-12,2021-10-12,522.18,505.6,523.22,499.48,95907
2021-10-13,2021-10-13,505.6,522.86,523.1,504.6,76522
2021-10-14,2021-10-14,525.6,532.9,535.48,525.6,78416
2021-10-15,2021-10-15,532.6,569.6,579.47,528.7,229513
2021-10-18,2021-10-18,581.6,595.62,595.84,570.6,186702
2021-10-19,2021-10-19,604.6,591.2,615.58,585.6,150890
2021-10-20,2021-10-20,595.6,590.1,613.98,587.6,124666
2021-10-21,2021-10-21,590.6,596.6,599.6,580.6,101423
2021-10-22,2021-10-22,606.58,602.0,606.58,590.93,110216
2021-10-25,2021-10-25,612.6,611.37,625.76,603.93,140521
2021-10-26,2021-10-26,636.36,598.59,639.08,596.53,148277
2021-10-27,2021-10-27,598.59,615.64,615.64,593.77,135486
2021-10-28,2021-10-28,625.6,607.8,635.6,603.53,172829
2021-10-29,2021-10-29,615.89,639.82,646.09,599.54,202687
2021-11-01,2021-11-01,641.6,650.6,679.6,631.73,221797
